case_number, has_facts_header
2022_SGHC_302,True
2022_SGHCI_16,True
2022_SGHC_303,True
2022_SGHC_301,True
2022_SGHCA_41,True
2022_SGCA_75,True
2022_SGHC_298,True
2022_SGHC_296,False
2022_SGHC_299,True
2022_SGHCA_40,False
2022_SGHC_297,True
2022_SGHC_290,False
2022_SGHCA_39,True
2022_SGCAI_10,True
2022_SGHC_294,False
2022_SGHC_291,True
2022_SGHC_295,True
2022_SGCAI_9,True
2022_SGHC_293,False
2022_SGHC_292,True
2022_SGCA_74,False
2022_SGHC_289,True
2022_SGHC_288,True
2022_SGHC_287,True
2022_SGHC_286,True
2022_SGCA_73,True
2022_SGCA_72,False
2022_SGHC_285,True
2022_SGHC_282,False
2022_SGHC_283,False
2022_SGHC_284,True
2022_SGHCF_27,False
2022_SGHC_281,True
2022_SGHC_280,True
2022_SGHC_279,False
2022_SGHCI_15,False
2022_SGHC_278,True
2022_SGHC_277,True
2022_SGHC_275,True
2022_SGHC_276,True
2022_SGHC_271,True
2022_SGHC_272,True
2022_SGHC_270,True
2022_SGCA_71,True
2022_SGHC_267,True
2022_SGHC_268,True
2022_SGHC_274,True
